46.7	0	8.1	0
48.1	0	7.6	0.4
47.9	0	8.2	2.3
49.4	0	9.1	0.1
50.5	0	8.4	0
52.9	0	12	0
54.7	0	11.8	0
57.4	0	14.6	0.1
60	0	14.8	0
60.2	0	12.4	2.6
61	0	11.9	1.9
57.6	0	9.5	6.3
59.5	0	11.3	1.2
56.6	0	9.1	6.1
44.4	0	9	12.5
47.6	0	9.8	0.1
49	0	8.4	0
51.1	0	9.2	0
53.2	0	8.6	0
54.2	0	7.6	1.4
50.5	0	10.4	5.4
51.7	0	11.7	0.4
53.9	0	10.9	0
54.8	0	10.3	0
55.6	0	12.6	0
58	0	13.3	0
60.1	0	10.8	0.3
48.4	0	11.8	12.8
51.8	0	13	0.4
55.2	0	14.1	0
58.5	0	15.3	0
61.9	0	18.1	0.5
64.9	0	15.1	0
67.9	0	14.5	0
68.4	0	14.7	2.6
63.8	0	14.2	8.7
62.6	0	13.9	5.5
60.3	0	13.9	6.3
63	0	13	0.3
56.9	0	12	10.9
53.1	0	10.1	5.9
55.3	0	9.5	0
57.4	0	11.8	0.2
61	0	12.6	0.2
63.5	0	12.5	0.8
67	0	13.3	0
70.3	0	14.1	0
73.7	0	17.2	0
76.2	0	14.4	0.4
77.7	0	11.7	0
58.4	0	12.3	21.7
57.1	0	14.5	1.9
57.3	0	13.7	0.3
58.8	0	13.9	0
57.8	0	12.4	3.7
54.5	0	13.1	6.7
51.5	0	12	6.1
52.5	0	13.4	1
53.9	0	14.7	0.1
55.2	0	17.1	0.2
58	0	16.1	0.3
59.1	0	15.6	0.1
61.9	0	17.6	0
65.8	0	17.9	0
68.6	0	14.3	0
69.9	0	15.7	1.4
71	0	15.6	2.3
72.7	0	15.1	0
75.4	0	14.2	0
78.4	0	14.2	0
80.2	0	13.4	0
83.7	0	15.2	0
86.9	0	14.1	0
89.2	0	13	0
91.1	0	12.8	0
92	0	14.3	0.8
91.7	0	13.6	2.9
80	0	13.1	13.9
81.5	0	13.8	0.9
81.4	0	14.3	2.7
82.1	0	15.9	2.3
83.5	0	15.9	1.2
85	0	16	0.5
70.8	0	16.1	15.5
72	0	16.4	0.8
73.3	0	13.7	1.5
75.8	0	13.8	0.2
76.8	0	12.7	0.2
80	0	15.2	0
83	0	15.9	0
86.5	0	18.5	0
89.1	0	19	0
92.4	0	16.8	0
94.4	0	16.9	0
97.7	0	17.5	0
99.6	0	16.9	0
101.1	0	14.6	0
102.9	0	14.4	0
103.7	0	16.4	0
105.2	0	16.4	0
106.7	0	16.1	0
